,datasetId,@odata.context,days,times,enabled,localTimeZoneId,notifyOption
0,051c2701-3d54-418f-b186-8115b716848c,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,True,Arabian Standard Time,MailOnFailure
0,458ce5f8-01dd-4f80-bce5-35178f77f69a,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,False,Arabian Standard Time,MailOnFailure
0,7d26904e-49e2-4999-b71b-6a09beea453f,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,True,Arabian Standard Time,MailOnFailure
0,90d4ae7f-37c3-45fe-8246-4cd29dbb8dd5,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,True,Arabian Standard Time,MailOnFailure
0,8116d7d7-addd-4104-a655-39bdc754736f,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:00,True,Arabian Standard Time,MailOnFailure
0,c2496aa2-5ef4-4d4b-81c4-b6bc17c24935,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,False,Arabian Standard Time,NoNotification
0,f9867a7d-eb7b-4f20-ba3c-196fb98b1f88,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,False,Arabian Standard Time,MailOnFailure
0,774b2eaf-1464-4947-a93a-b608611fa8ec,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:00,False,Arabian Standard Time,MailOnFailure
0,7feaf539-0598-45ea-a221-acde73f3c1de,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:30,False,Arabian Standard Time,MailOnFailure
0,75f8aa65-82df-4733-b421-324222fed52f,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:00,True,Arabian Standard Time,MailOnFailure
0,a96e6fb2-c8d1-4ff0-b3a6-d1a2caa087ba,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:30,False,Arabian Standard Time,MailOnFailure
0,937ce562-5d53-497b-9648-a1e4ce30408e,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,True,Arabian Standard Time,MailOnFailure
0,fe39c90a-c0e2-44d0-9e31-64dd155f3d81,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:00,True,Arabian Standard Time,MailOnFailure
0,9d9bbc6f-a7b4-44f9-b97d-1e577e3dfacb,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:30,True,Arabian Standard Time,MailOnFailure
0,68f0c0a6-27ba-40e2-be8f-1bf9ee83983f,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","04:30,08:30",True,Arabian Standard Time,MailOnFailure
0,659adff8-c377-4f90-9095-59135e820acb,http://wabi-north-europe-l-primary-redirect.analysis.windows.net/v1.0/myorg/$metadata#Microsoft.PowerBI.ServiceContracts.Api.V1.RefreshSchedule,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",21:35,False,UTC,MailOnFailure
